Timestamps,Bytes_Sent (TCP),Bytes_Sent (UDP),Bytes_Sent (Other),Bytes_Received (TCP),Bytes_Received (UDP),Bytes_Received (Other),Packets_Sent (TCP),Packets_Sent (UDP),Packets_Sent (Other),Packets_Received (TCP),Packets_Received (UDP),Packets_Received (Other)
2/21/2024 0:25,707,865,104,733,588,273,48,23,13,23,26,15
2/21/2024 0:30,682,848,140,1020,469,217,22,38,11,43,26,28
2/21/2024 0:35,1124,879,140,1098,744,103,52,30,17,64,33,22
2/21/2024 0:40,1152,858,173,874,515,293,47,20,21,26,26,20
2/21/2024 0:45,748,786,180,837,746,198,52,37,22,33,36,29
2/21/2024 0:50,1100,600,275,704,750,128,54,21,26,39,28,8
2/21/2024 0:55,641,785,136,748,674,239,68,40,17,51,14,10
2/21/2024 1:00,1005,827,207,601,557,221,51,36,19,62,16,11
2/21/2024 1:05,644,584,118,1151,754,277,35,29,14,39,16,29
2/21/2024 1:10,869,606,146,805,758,158,32,23,29,36,28,11
2/21/2024 1:15,927,819,238,1178,840,136,67,32,15,50,35,13
2/21/2024 1:20,905,906,176,985,452,156,64,14,12,51,19,21
2/21/2024 1:25,790,771,139,810,464,290,30,16,15,40,27,28
2/21/2024 1:30,842,677,126,773,914,222,64,29,26,38,36,23
2/21/2024 1:35,811,552,293,790,874,171,51,32,20,30,39,28
2/21/2024 1:40,1165,624,195,814,594,130,44,29,13,44,15,24
2/21/2024 1:45,789,468,203,799,513,291,53,15,16,36,21,26
2/21/2024 1:50,787,593,296,889,495,275,62,30,18,24,20,10
2/21/2024 1:55,1182,618,147,720,886,127,23,22,17,59,31,27
2/21/2024 2:00,1028,833,299,749,509,229,46,31,28,48,16,27
2/21/2024 2:05,729,681,205,805,807,146,58,20,9,27,25,8
2/21/2024 2:10,956,560,290,684,770,108,41,32,24,68,39,30
2/21/2024 2:15,601,652,252,926,846,110,28,24,17,29,37,8
2/21/2024 2:20,654,735,254,656,559,264,24,28,25,54,25,30
2/21/2024 2:25,641,786,271,678,625,226,47,23,30,50,25,30
2/21/2024 2:30,1002,789,126,671,819,205,37,20,12,48,25,20
2/21/2024 2:35,1095,629,120,1014,583,268,38,26,18,28,39,17
2/21/2024 2:40,1020,757,153,743,752,259,48,24,11,47,18,12
2/21/2024 2:45,1080,895,220,1042,915,285,65,16,17,47,35,17
2/21/2024 2:50,990,850,109,1064,589,291,23,17,21,65,39,22
2/21/2024 2:55,677,665,204,898,722,271,57,29,23,64,22,9
2/21/2024 3:00,1070,549,255,607,636,297,39,21,17,39,22,10
2/21/2024 3:05,899,645,258,1156,516,265,29,35,30,47,33,21
2/21/2024 3:10,1041,465,122,1169,797,199,64,38,15,59,41,9
2/21/2024 3:15,730,858,102,703,632,243,42,39,10,60,18,25
2/21/2024 3:20,705,732,274,842,750,225,32,18,19,50,15,21
2/21/2024 3:25,610,709,100,703,796,207,35,40,15,68,38,18
2/21/2024 3:30,775,903,182,1012,818,264,61,21,24,64,16,10
2/21/2024 3:35,1016,793,184,843,515,281,58,24,15,52,30,13
2/21/2024 3:40,1114,515,188,878,770,124,51,22,10,25,30,22
2/21/2024 3:45,892,800,162,808,687,135,34,19,27,62,15,17
2/21/2024 3:50,818,655,121,1142,680,180,48,31,30,29,30,16
2/21/2024 3:55,811,751,232,1070,586,253,54,15,27,54,31,8
2/21/2024 4:00,657,914,253,1113,776,101,22,22,18,55,29,10
2/21/2024 4:05,1086,674,272,931,739,143,39,31,18,65,16,21
2/21/2024 4:10,1026,760,115,968,554,261,36,17,26,63,16,15
2/21/2024 4:15,1144,666,258,1147,757,217,54,27,30,63,20,8
2/21/2024 4:20,913,563,252,792,537,273,40,15,28,60,31,23
2/21/2024 4:25,812,591,150,840,493,125,45,40,19,42,20,9
2/21/2024 4:30,630,539,176,1116,735,174,44,22,28,28,41,24
2/21/2024 4:35,691,794,249,1012,742,170,29,30,28,38,35,8
2/21/2024 4:40,688,545,288,694,648,209,28,33,10,47,36,19
2/21/2024 4:45,891,838,249,653,628,257,47,30,24,48,21,15
2/21/2024 4:50,681,456,186,945,676,184,23,39,10,27,14,8
2/21/2024 4:55,660,536,198,648,471,185,23,21,8,66,30,14
2/21/2024 5:00,762,726,214,1004,585,284,48,23,14,22,26,17
2/21/2024 5:05,1179,550,266,676,869,141,49,23,14,59,33,13
2/21/2024 5:10,643,844,278,697,676,278,57,40,13,44,31,21
2/21/2024 5:15,1158,472,248,773,793,165,28,17,23,41,25,27
2/21/2024 5:20,952,682,291,828,453,292,53,29,12,38,41,9
2/21/2024 5:25,1148,673,289,1126,664,232,59,40,26,36,21,21
2/21/2024 5:30,1004,677,208,955,624,259,64,26,26,56,38,16
2/21/2024 5:35,705,556,230,653,917,179,49,36,9,56,33,16
2/21/2024 5:40,1129,621,219,737,600,281,53,36,29,57,24,12
2/21/2024 5:45,788,831,173,1100,546,134,67,38,25,34,41,26
2/21/2024 5:50,720,758,194,1010,708,156,34,18,23,40,41,23
2/21/2024 5:55,1176,895,274,950,581,107,47,22,9,27,15,27
2/21/2024 6:00,839,742,180,610,665,105,44,40,22,67,35,22
2/21/2024 6:05,728,854,264,1138,548,136,55,36,16,52,39,21
2/21/2024 6:10,1195,557,166,1110,671,112,65,32,10,35,38,13
2/21/2024 6:15,1126,886,130,933,491,171,58,16,19,23,17,17
2/21/2024 6:20,981,591,263,958,750,262,42,16,22,59,30,28
2/21/2024 6:25,958,458,211,691,633,110,23,29,15,24,19,13
2/21/2024 6:30,759,839,255,806,832,153,37,25,9,31,34,25
2/21/2024 6:35,650,614,267,786,608,230,55,38,19,22,41,14
2/21/2024 6:40,1108,606,188,825,805,263,66,36,10,32,30,20
2/21/2024 6:45,677,477,126,1116,561,183,46,17,25,33,39,24
2/21/2024 6:50,685,612,195,768,817,195,28,20,27,35,18,11
2/21/2024 6:55,1135,834,250,761,892,288,32,41,19,31,36,21
2/21/2024 7:00,622,752,267,976,795,134,25,31,11,23,39,14
2/21/2024 7:05,735,906,268,891,490,178,54,33,16,31,39,30
2/21/2024 7:10,1113,685,148,764,554,171,39,25,23,60,18,14
2/21/2024 7:15,754,580,281,877,616,230,42,20,14,66,32,23
2/21/2024 7:20,1110,601,145,1053,906,134,31,36,22,68,30,25
2/21/2024 7:25,733,801,290,870,757,188,22,18,16,67,32,20
2/21/2024 7:30,1093,850,175,809,601,223,59,38,18,51,40,19
2/21/2024 7:35,1156,481,119,800,861,229,24,23,28,58,27,8
2/21/2024 7:40,977,918,283,925,569,290,32,34,8,57,39,11
2/21/2024 7:45,1030,539,183,734,711,182,65,35,20,50,38,14
2/21/2024 7:50,730,451,237,715,453,115,42,19,17,42,33,8
2/21/2024 7:55,1034,801,196,644,543,206,36,18,27,28,22,20
2/21/2024 8:00,720,469,127,1174,699,211,49,21,27,49,28,19
2/21/2024 8:05,767,748,289,1180,522,148,46,28,13,28,33,23
2/21/2024 8:10,1071,642,138,830,731,211,31,19,21,33,40,15
2/21/2024 8:15,1033,509,156,671,586,293,67,24,29,40,14,24
2/21/2024 8:20,899,758,109,1092,820,135,29,20,11,33,22,8
2/21/2024 8:25,857,497,211,698,642,140,42,29,29,52,18,23
2/21/2024 8:30,619,795,258,602,814,232,31,20,12,33,25,15
2/21/2024 8:35,631,818,112,1108,667,119,65,41,28,62,29,13
2/21/2024 8:40,788,468,283,1010,598,196,38,27,12,31,20,24
2/21/2024 8:45,744,830,273,1192,817,156,32,35,28,34,41,11
2/21/2024 8:50,1018,462,270,988,652,258,44,28,14,38,24,11
2/21/2024 8:55,1107,851,113,874,540,234,65,36,15,54,33,30
2/21/2024 9:00,1011,845,216,831,593,215,59,28,12,28,30,16
2/21/2024 9:05,1089,845,126,966,858,243,53,20,21,62,34,29
2/21/2024 9:10,985,754,290,951,526,225,49,24,24,31,25,28
2/21/2024 9:15,721,868,247,839,830,201,51,39,15,36,36,20
2/21/2024 9:20,791,909,158,992,645,150,35,37,23,22,27,20
2/21/2024 9:25,714,806,283,1025,828,183,54,27,25,28,37,13
2/21/2024 9:30,844,736,222,1020,706,299,62,28,17,61,22,23
2/21/2024 9:35,1052,543,158,1103,660,264,44,30,17,64,41,8
2/21/2024 9:40,955,508,233,928,603,263,30,16,17,46,21,26
2/21/2024 9:45,938,457,253,1020,908,246,48,34,27,40,31,17
2/21/2024 9:50,857,705,262,1065,487,166,45,14,24,57,17,22
2/21/2024 9:55,838,846,108,958,667,235,28,22,10,24,15,22
2/21/2024 10:00,753,868,131,1141,722,237,27,19,21,62,27,16
2/21/2024 10:05,1005,892,160,1199,675,233,29,35,25,44,23,30
2/21/2024 10:10,623,550,298,859,912,165,46,26,19,51,15,24
2/21/2024 10:15,874,673,126,946,477,230,27,24,15,68,41,22
2/21/2024 10:20,650,793,181,939,785,159,50,34,16,45,21,21
2/21/2024 10:25,1023,775,111,782,777,226,26,34,9,33,21,22
2/21/2024 10:30,867,877,105,867,525,292,43,38,16,59,19,15
2/21/2024 10:35,785,485,159,626,767,300,65,22,8,48,28,14
2/21/2024 10:40,1045,767,300,710,694,104,31,17,10,47,24,17
2/21/2024 10:45,822,733,115,665,777,110,47,41,19,47,33,30
2/21/2024 10:50,1141,646,169,1054,577,222,31,22,20,39,40,11
2/21/2024 10:55,843,661,132,1011,653,168,44,20,8,50,14,21
2/21/2024 11:00,1035,550,256,602,793,263,60,37,9,32,36,29
2/21/2024 11:05,730,793,190,1069,816,228,43,33,27,35,23,28
2/21/2024 11:10,932,814,300,600,529,213,48,20,17,34,22,16
2/21/2024 11:15,794,909,125,809,689,217,68,22,13,43,28,25
2/21/2024 11:20,824,714,110,681,741,142,52,20,20,26,32,23
2/21/2024 11:25,918,496,219,661,802,225,24,25,22,64,23,17
2/21/2024 11:30,824,882,297,829,724,163,57,14,21,60,24,20
2/21/2024 11:35,1188,756,215,959,648,225,43,19,10,40,24,26
2/21/2024 11:40,794,619,224,832,714,130,47,32,22,35,21,8
2/21/2024 11:45,655,849,127,656,875,267,66,16,10,60,41,18
2/21/2024 11:50,624,628,232,858,798,276,33,32,18,66,41,17
2/21/2024 11:55,931,534,143,690,805,284,43,16,9,28,41,20
2/21/2024 12:00,1039,606,283,1178,461,152,22,15,29,22,25,21
2/21/2024 12:05,629,736,150,1074,830,120,56,24,27,50,20,23
2/21/2024 12:10,1019,535,209,1156,754,179,68,22,11,51,35,16
2/21/2024 12:15,1175,895,170,1153,713,106,31,20,10,43,20,25
2/21/2024 12:20,1053,706,220,998,606,248,40,15,13,59,22,29
2/21/2024 12:25,685,511,232,671,509,275,55,18,30,67,14,12
2/21/2024 12:30,605,827,122,1037,856,271,42,23,12,44,20,30
2/21/2024 12:35,677,914,284,803,786,217,50,26,12,57,24,26
2/21/2024 12:40,817,831,201,857,713,143,47,28,29,44,14,23
2/21/2024 12:45,901,459,174,1011,599,121,54,19,11,41,39,13
2/21/2024 12:50,955,512,149,1160,542,269,22,38,23,31,41,22
2/21/2024 12:55,1117,726,242,1129,712,277,55,37,19,32,20,22
2/21/2024 13:00,870,814,105,789,459,201,33,14,30,46,21,30
2/21/2024 13:05,761,630,112,884,569,172,53,19,20,29,37,14
2/21/2024 13:10,969,611,257,761,880,124,52,25,28,29,34,28
2/21/2024 13:15,1128,622,290,742,776,119,22,18,29,48,19,23
2/21/2024 13:20,1151,603,183,1112,626,102,48,17,12,22,25,19
2/21/2024 13:25,961,872,186,1118,470,104,36,15,21,48,17,13
2/21/2024 13:30,1016,661,118,1026,860,157,38,36,22,22,34,29
2/21/2024 13:35,603,792,206,849,465,197,26,36,14,49,32,30
2/21/2024 13:40,1191,728,140,987,673,241,53,33,13,44,36,28
2/21/2024 13:45,878,578,109,1112,616,166,32,34,28,40,25,11
2/21/2024 13:50,1012,551,112,1126,533,126,43,38,17,33,33,18
2/21/2024 13:55,623,542,137,869,882,250,53,38,11,41,41,21
2/21/2024 14:00,772,702,180,907,728,190,28,21,16,24,31,14
2/21/2024 14:05,1024,804,149,746,776,294,37,39,15,53,36,19
2/21/2024 14:10,895,783,295,808,918,283,33,31,21,37,19,9
2/21/2024 14:15,799,810,177,872,453,105,22,18,23,28,33,17
2/21/2024 14:20,727,813,150,772,686,198,35,26,9,49,14,11
2/21/2024 14:25,1002,858,205,891,727,213,62,27,21,68,31,26
2/21/2024 14:30,809,861,223,696,583,116,22,35,26,24,25,21
2/21/2024 14:35,1102,905,236,859,832,110,32,39,27,62,15,29
2/21/2024 14:40,1096,451,242,899,522,285,60,23,28,59,25,24
2/21/2024 14:45,687,680,139,1116,911,141,49,39,9,47,23,23
2/21/2024 14:50,779,760,217,1009,920,116,42,22,9,46,32,20
2/21/2024 14:55,729,594,212,1075,660,125,27,27,15,62,27,10
2/21/2024 15:00,900,544,199,1024,689,252,26,29,26,39,36,20
2/21/2024 15:05,999,592,173,661,673,192,61,39,15,49,21,8
2/21/2024 15:10,603,720,261,614,569,254,62,35,20,45,22,10
2/21/2024 15:15,1000,525,263,823,872,292,41,20,14,34,33,24
2/21/2024 15:20,819,467,248,859,664,270,55,34,29,43,24,25
2/21/2024 15:25,859,713,112,669,916,135,32,25,21,66,30,25
2/21/2024 15:30,631,526,202,804,553,219,32,35,27,64,34,24
2/21/2024 15:35,1045,715,218,839,586,287,49,25,22,41,27,17
2/21/2024 15:40,811,522,144,901,630,274,38,31,18,36,19,23
2/21/2024 15:45,1114,653,170,918,832,263,37,33,9,35,23,24
2/21/2024 15:50,831,862,205,649,672,245,56,40,30,49,20,11
2/21/2024 15:55,667,647,174,855,803,248,54,38,25,63,15,24
2/21/2024 16:00,1153,722,113,1189,803,206,55,41,24,46,19,13
2/21/2024 16:05,1112,709,268,656,652,256,46,16,13,29,29,21
2/21/2024 16:10,906,833,218,1199,869,259,31,39,26,30,16,8
2/21/2024 16:15,1133,656,241,1171,658,275,36,27,24,48,22,17
2/21/2024 16:20,730,778,121,853,891,182,24,14,14,40,35,28
2/21/2024 16:25,1107,884,167,840,905,293,64,32,21,23,18,19
2/21/2024 16:30,1084,766,131,757,836,271,45,33,20,25,29,18
2/21/2024 16:35,625,529,170,838,468,273,52,29,18,45,37,15
2/21/2024 16:40,1144,561,155,915,518,111,23,36,8,40,26,23
2/21/2024 16:45,690,826,145,773,736,117,46,26,20,68,18,9
2/21/2024 16:50,1003,506,155,937,788,252,33,33,22,55,24,10
2/21/2024 16:55,708,703,142,1001,489,198,47,15,25,41,33,11
2/21/2024 17:00,1120,909,233,925,578,254,33,38,22,28,37,29
2/21/2024 17:05,772,875,139,913,575,283,23,41,14,40,19,25
2/21/2024 17:10,1100,801,148,1011,906,104,68,31,12,55,18,26
2/21/2024 17:15,1148,779,219,922,851,281,53,31,12,58,32,8
2/21/2024 17:20,645,682,209,1182,560,145,24,35,30,43,14,30
2/21/2024 17:25,957,499,229,1115,517,248,61,30,18,33,25,25
2/21/2024 17:30,1063,670,179,755,766,117,34,27,28,42,16,26
2/21/2024 17:35,726,816,208,851,660,161,55,24,9,48,25,28
2/21/2024 17:40,704,462,184,713,797,123,57,34,26,40,32,16
2/21/2024 17:45,1125,731,131,928,673,119,40,26,30,56,33,30
2/21/2024 17:50,1185,734,204,947,521,189,60,16,24,56,34,26
2/21/2024 17:55,754,560,253,668,486,224,32,19,24,43,21,22
2/21/2024 18:00,788,826,174,782,497,235,28,14,15,26,35,12
2/21/2024 18:05,728,737,189,951,844,212,33,18,15,25,31,27
2/21/2024 18:10,819,621,132,705,748,146,53,38,10,50,15,23
2/21/2024 18:15,867,682,222,642,518,138,26,28,25,33,39,10
2/21/2024 18:20,855,920,276,759,886,193,49,33,21,34,37,27
2/21/2024 18:25,1057,755,107,602,674,240,34,32,30,24,21,24
2/21/2024 18:30,967,624,228,962,586,186,26,20,21,45,37,27
2/21/2024 18:35,1086,592,140,725,548,277,66,41,11,43,25,30
2/21/2024 18:40,796,864,300,630,627,150,42,21,17,68,41,25
2/21/2024 18:45,652,752,198,1146,495,267,25,20,22,29,18,22
2/21/2024 18:50,1083,821,133,1001,515,256,24,19,18,38,24,8
2/21/2024 18:55,660,588,292,1025,690,265,24,34,19,27,32,22
2/21/2024 19:00,976,513,130,954,451,298,28,22,8,45,30,25
2/21/2024 19:05,856,543,254,660,653,135,68,31,11,23,35,22
2/21/2024 19:10,1103,888,161,898,700,174,56,31,23,34,33,16
2/21/2024 19:15,1082,783,159,861,785,138,39,22,25,62,23,9
2/21/2024 19:20,641,638,285,990,485,283,55,37,17,63,21,30
2/21/2024 19:25,888,556,125,1154,682,202,37,41,9,37,14,24
2/21/2024 19:30,1067,612,193,919,830,132,55,26,18,25,24,27
2/21/2024 19:35,960,678,206,1024,621,141,57,27,28,63,22,15
2/21/2024 19:40,732,496,277,805,652,288,29,29,28,57,41,27
2/21/2024 19:45,857,898,181,814,738,294,53,22,12,24,22,27
2/21/2024 19:50,1089,842,283,962,499,151,22,16,8,45,27,9
2/21/2024 19:55,973,809,228,1138,790,115,52,36,16,63,23,19
2/21/2024 20:00,984,549,161,605,824,145,43,33,9,66,32,20
2/21/2024 20:05,819,886,155,659,739,134,63,22,10,38,25,15
2/21/2024 20:10,665,496,180,985,738,196,54,17,19,29,40,11
2/21/2024 20:15,679,732,176,793,455,215,51,17,27,33,41,8
2/21/2024 20:20,715,854,219,1198,543,185,59,32,27,46,32,12
2/21/2024 20:25,688,744,242,652,630,188,37,35,11,37,14,9
2/21/2024 20:30,685,854,295,809,478,133,37,20,10,43,17,19
2/21/2024 20:35,808,889,204,682,910,253,53,15,29,48,15,20
2/21/2024 20:40,607,675,242,832,643,141,50,37,22,63,34,11
2/21/2024 20:45,767,828,165,762,642,259,54,18,26,68,25,15
2/21/2024 20:50,1015,519,114,644,768,267,65,20,22,36,22,10
2/21/2024 20:55,836,902,211,1105,731,266,45,18,12,39,31,19
2/21/2024 21:00,1180,633,191,1129,891,151,34,39,16,61,23,25
2/21/2024 21:05,625,865,199,1105,545,146,37,20,18,55,30,30
2/21/2024 21:10,1070,711,229,721,625,187,63,15,16,36,36,15
2/21/2024 21:15,802,820,272,995,508,164,22,38,21,55,32,25
2/21/2024 21:20,753,782,195,799,804,181,39,21,16,67,22,22
2/21/2024 21:25,1093,740,272,718,647,100,49,27,24,61,26,18
2/21/2024 21:30,1041,709,115,975,514,215,42,21,18,26,19,16
2/21/2024 21:35,704,627,235,887,675,239,34,15,11,33,40,11
2/21/2024 21:40,814,514,135,1158,857,277,47,17,30,61,34,15
2/21/2024 21:45,618,579,267,816,920,210,59,39,16,59,33,16
2/21/2024 21:50,1092,581,123,698,695,151,44,23,29,68,38,15
2/21/2024 21:55,600,813,181,937,540,141,39,36,25,24,39,18
2/21/2024 22:00,1057,706,203,1191,916,230,39,39,12,50,29,24
2/21/2024 22:05,821,575,105,1041,541,278,53,17,26,67,32,29
2/21/2024 22:10,1052,514,127,696,658,195,47,34,11,31,36,11
2/21/2024 22:15,689,670,289,1072,584,204,57,29,14,65,34,28
2/21/2024 22:20,1165,695,214,934,726,265,45,34,23,32,15,26
2/21/2024 22:25,1024,787,298,724,680,259,52,18,18,22,21,13
2/21/2024 22:30,813,862,166,1200,809,278,27,29,19,39,16,30
2/21/2024 22:35,909,556,134,926,831,180,51,29,26,55,18,29
2/21/2024 22:40,934,875,170,1141,897,245,66,41,21,22,38,13
2/21/2024 22:45,709,893,143,1008,633,103,28,32,22,62,39,29
2/21/2024 22:50,615,867,133,878,663,146,64,39,20,47,20,26
2/21/2024 22:55,764,686,209,797,538,290,52,18,13,30,26,13
2/21/2024 23:00,786,528,102,653,814,247,63,23,17,33,36,14
2/21/2024 23:05,832,484,272,1132,534,255,41,39,16,51,15,12
2/21/2024 23:10,948,789,166,843,798,267,60,26,22,68,25,11
2/21/2024 23:15,756,598,103,982,907,156,33,19,9,67,40,22
2/21/2024 23:20,838,480,115,693,889,124,49,14,28,46,37,23
2/21/2024 23:25,1132,681,214,860,455,164,44,23,26,59,18,19
2/21/2024 23:30,676,799,226,910,566,116,31,27,10,33,21,14
2/21/2024 23:35,1063,820,147,966,499,212,30,33,21,29,28,18
2/21/2024 23:40,845,505,177,875,901,176,55,35,19,65,22,9
2/21/2024 23:45,649,766,202,1071,783,297,30,14,14,37,31,24
2/21/2024 23:50,924,820,106,704,815,253,40,15,15,58,20,19
2/21/2024 23:55,925,793,206,1163,917,195,39,20,28,54,38,29
2/22/2024 0:00,716,797,131,888,858,270,56,38,23,41,40,11
2/22/2024 0:05,1033,607,234,1148,496,143,49,27,27,38,25,11
2/22/2024 0:10,607,607,226,686,869,162,26,31,21,60,18,21
2/22/2024 0:15,740,831,259,762,855,300,49,24,30,55,14,12
2/22/2024 0:20,978,511,246,1129,796,179,25,29,30,25,24,12
2/22/2024 0:25,1001,836,217,628,770,100,52,35,16,67,33,10
2/22/2024 0:30,887,796,156,782,615,105,38,20,23,64,28,29
2/22/2024 0:35,836,481,158,813,586,177,55,40,24,36,28,22
2/22/2024 0:40,903,602,202,1113,792,136,30,32,28,43,38,16
2/22/2024 0:45,964,756,113,998,686,158,53,19,16,43,38,19
2/22/2024 0:50,735,914,251,945,905,290,55,19,27,64,31,26
2/22/2024 0:55,804,542,223,989,589,224,54,14,21,35,39,23
2/22/2024 1:00,774,588,226,1076,784,223,52,40,10,36,33,10
2/22/2024 1:05,832,613,277,1042,911,169,61,19,12,59,35,21
2/22/2024 1:10,1191,454,128,812,738,262,60,41,18,58,41,15
2/22/2024 1:15,752,585,164,1022,547,205,68,27,28,34,33,20
2/22/2024 1:20,772,795,104,737,782,182,25,26,28,62,40,20
2/22/2024 1:25,874,488,177,640,531,284,57,26,18,66,39,29
2/22/2024 1:30,755,496,164,912,661,182,47,29,26,49,14,9
2/22/2024 1:35,615,645,154,799,453,222,55,37,24,65,35,8
2/22/2024 1:40,712,505,160,642,799,170,60,22,8,68,36,27
2/22/2024 1:45,1122,642,213,631,752,105,48,40,14,66,31,9
2/22/2024 1:50,1184,706,143,895,530,217,46,30,8,52,23,20
2/22/2024 1:55,1090,705,252,1016,468,157,31,34,12,27,36,29
2/22/2024 2:00,1053,594,217,1085,834,207,48,25,17,24,30,10
2/22/2024 2:05,903,783,224,823,472,157,50,39,25,34,30,29
2/22/2024 2:10,878,680,139,757,680,164,62,25,11,56,14,10
2/22/2024 2:15,897,644,187,1063,450,201,59,40,11,64,23,11
2/22/2024 2:20,788,583,244,1028,511,118,23,26,14,39,31,19
2/22/2024 2:25,938,784,221,709,737,272,60,28,19,54,31,30
2/22/2024 2:30,1199,604,232,663,876,164,61,17,9,30,31,13
2/22/2024 2:35,911,758,238,1197,784,147,42,19,17,40,21,24
2/22/2024 2:40,1175,852,178,606,800,214,40,28,22,22,19,13
2/22/2024 2:45,1184,478,211,744,466,204,66,39,22,45,20,23
2/22/2024 2:50,886,633,166,825,499,264,58,31,24,51,18,18
2/22/2024 2:55,895,786,264,978,609,176,61,32,12,46,28,24
2/22/2024 3:00,1019,888,157,1050,562,110,38,28,28,25,31,14
2/22/2024 3:05,748,684,135,651,458,291,60,23,19,22,41,23
2/22/2024 3:10,787,515,145,680,872,290,32,36,19,47,22,30
2/22/2024 3:15,1098,610,167,1033,650,252,43,31,27,28,35,9
2/22/2024 3:20,1042,598,262,797,490,131,31,17,29,66,20,14
2/22/2024 3:25,767,621,268,1159,643,150,27,18,28,62,14,14
2/22/2024 3:30,877,887,136,1019,623,150,43,39,8,40,32,22
2/22/2024 3:35,999,633,225,940,825,115,65,23,13,41,27,8
2/22/2024 3:40,987,582,257,843,761,120,37,18,13,29,26,8
2/22/2024 3:45,601,741,123,1097,662,141,66,32,13,51,18,14
2/22/2024 3:50,811,493,174,1054,843,126,42,22,22,63,32,8
2/22/2024 3:55,753,817,141,764,903,247,53,25,21,36,38,25
2/22/2024 4:00,871,691,202,1156,739,234,58,39,28,43,29,15
2/22/2024 4:05,902,467,188,863,760,149,56,36,24,39,19,26
2/22/2024 4:10,1005,497,286,1017,574,163,40,32,14,52,20,26
2/22/2024 4:15,1179,546,102,883,559,136,25,21,17,59,29,14
2/22/2024 4:20,1198,625,174,715,775,200,35,30,8,46,31,10
2/22/2024 4:25,862,707,131,770,731,149,53,27,27,34,29,13
2/22/2024 4:30,796,559,172,1000,574,213,54,17,14,43,35,30
2/22/2024 4:35,928,722,103,880,505,229,54,40,29,36,41,8
2/22/2024 4:40,838,613,162,725,799,197,31,38,23,39,38,9
2/22/2024 4:45,617,629,258,962,505,233,34,23,22,67,25,24
2/22/2024 4:50,731,540,164,677,841,217,45,17,26,61,40,21
2/22/2024 4:55,650,583,125,897,757,279,32,16,15,47,30,22
2/22/2024 5:00,804,913,222,614,885,298,46,29,27,63,40,28
2/22/2024 5:05,867,504,196,675,461,114,32,27,15,32,17,27
2/22/2024 5:10,819,787,297,1082,910,230,68,30,25,26,33,21
2/22/2024 5:15,783,770,234,1121,769,182,63,39,23,28,30,27
2/22/2024 5:20,711,642,171,1119,457,102,33,21,18,49,36,14
2/22/2024 5:25,787,906,209,826,821,178,60,29,12,55,19,8
2/22/2024 5:30,673,640,171,1034,561,284,40,29,11,46,29,13
2/22/2024 5:35,723,767,176,707,845,218,40,17,11,35,18,26
2/22/2024 5:40,853,497,183,931,759,152,40,34,19,52,16,24
2/22/2024 5:45,1093,529,298,651,790,300,46,32,11,24,39,30
2/22/2024 5:50,916,519,224,801,766,219,35,22,11,30,22,20
2/22/2024 5:55,698,820,122,1099,689,125,26,31,30,46,20,30
2/22/2024 6:00,666,772,158,1004,722,251,29,22,22,53,28,9
2/22/2024 6:05,657,653,233,1112,458,218,46,27,23,23,31,24
2/22/2024 6:10,1030,809,295,1061,790,178,29,34,27,37,25,23
2/22/2024 6:15,1108,504,220,1186,577,288,66,24,21,64,28,27
2/22/2024 6:20,778,729,222,991,730,254,22,40,11,23,41,23
2/22/2024 6:25,747,467,135,917,865,201,35,26,20,41,14,27
2/22/2024 6:30,1026,916,209,1101,915,299,62,21,25,67,33,28
2/22/2024 6:35,1060,594,295,1109,488,183,60,33,11,66,18,25
2/22/2024 6:40,925,857,285,1024,501,132,59,20,20,61,15,20
2/22/2024 6:45,645,710,151,868,709,247,31,19,24,58,26,11
2/22/2024 6:50,704,905,260,1181,821,163,50,33,9,42,23,21
2/22/2024 6:55,714,876,227,791,546,276,52,19,9,22,41,11
2/22/2024 7:00,650,823,187,1050,624,213,41,31,19,32,33,26
2/22/2024 7:05,1014,638,265,970,837,102,47,25,24,40,34,13
2/22/2024 7:10,710,530,133,689,776,166,29,34,15,38,14,28
2/22/2024 7:15,1071,811,144,1074,881,158,39,34,21,31,22,13
2/22/2024 7:20,953,474,122,769,802,287,39,33,28,47,24,27
2/22/2024 7:25,935,457,150,723,527,139,39,14,23,40,29,12
2/22/2024 7:30,1073,799,222,825,849,159,61,15,17,23,18,24
2/22/2024 7:35,697,704,174,825,746,133,56,18,15,59,33,12
2/22/2024 7:40,1019,646,292,776,669,274,25,15,29,67,37,9
2/22/2024 7:45,682,764,272,990,814,190,37,30,12,39,38,28
2/22/2024 7:50,1057,661,163,844,535,186,35,24,8,35,14,23
2/22/2024 7:55,672,835,260,705,643,285,31,21,15,32,32,13
2/22/2024 8:00,706,595,271,1137,722,172,43,38,26,53,17,28
2/22/2024 8:05,933,561,149,1130,918,158,22,30,14,38,40,13
2/22/2024 8:10,981,707,112,991,594,151,68,34,10,63,31,8
2/22/2024 8:15,1166,764,267,1167,682,287,65,15,13,35,41,21
2/22/2024 8:20,922,555,221,883,536,218,67,31,25,54,38,14
2/22/2024 8:25,787,835,122,958,791,169,48,37,9,32,28,17
2/22/2024 8:30,874,842,238,1005,815,275,38,27,8,42,33,19
2/22/2024 8:35,1113,637,194,1079,758,190,41,15,13,67,35,9
2/22/2024 8:40,623,720,217,1009,785,279,55,31,24,36,14,22
